,A,B,label
1657,"Moreover,(cid:107)z(cid:63)(θ1) − z(cid:63)(θ2)(cid:107) ≤ Lzθλ",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1658,"Throughout, we assume Θ ⊆ Rd.Lemma 1",(a) and (b) show test misclassiﬁcation error vs,0
1659,These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,"Fredrikson, Z",0
1660,"Moreover,(cid:107)z(cid:63)(θ1) − z(cid:63)(θ2)(cid:107) ≤ Lzθλ",(2017) attempt to mitigate this shortcoming,0
1661,"Making point (i) precise, Lemma 1 shows that if γ is large enough andAssumption B holds, the surrogate φγ is still smooth",In Section 4.2 we consider a supervised learning problem for MNISTwhere we adversarially perturb the test data,0
1662,"Then ¯f is differentiable,and letting z(cid:63)(θ) = argmaxz∈Z f (θ, z), we have ∇ ¯f (θ) = gθ(θ, z(cid:63)(θ))","When (cid:96) is convex in θ and γ is largeenough that z (cid:55)→ ((cid:96)(θ; z) − γc(z, z0)) is concave for all (θ, z0) ∈ Θ × Z, we have a stochasticmonotone variational inequality, which is efﬁciently solvable (Juditsky et al., 2011; Chen et al.,2014) with convergence rate 1/T ",0
1663,"Let gθ(θ, z) = ∇θf (θ, z) and gz(θ, z) = ∇zf (θ, z), andassume gθ and gz satisfy Assumption B with (cid:96)(θ; z) replaced with f (θ, z)",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1664,"Throughout, we assume Θ ⊆ Rd.Lemma 1","2 + 2(cid:10)∇θφγ(θ; zt) − ∇F (θt), δt(cid:11)(cid:17)2 +(cid:13)(cid:13)∇θφγ(θ; zt) − ∇F (θt)(cid:13)(cid:13)2(cid:13)(cid:13)∇F (θt)(cid:13)(cid:13)22 + αt (1 − Lφαt)(cid:10)∇F (θt),∇F (θt) − ∇θφγ(θ; zt)(cid:11)(cid:13)(cid:13)δt(cid:13)(cid:13)2",0
1665,"Let f : Θ×Z → R be differentiable and λ-strongly concave in z with respect to the norm(cid:107)·(cid:107), and deﬁne ¯f (θ) = supz∈Z f (θ, z)","For a function
g : Z → R and a positive number λ > 0, the proximal operator for λg is deﬁned by",0
1666,"Let f : Θ×Z → R be differentiable and λ-strongly concave in z with respect to the norm(cid:107)·(cid:107), and deﬁne ¯f (θ) = supz∈Z f (θ, z)",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1667,"Let gθ(θ, z) = ∇θf (θ, z) and gz(θ, z) = ∇zf (θ, z), andassume gθ and gz satisfy Assumption B with (cid:96)(θ; z) replaced with f (θ, z)",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1668,"Let gθ(θ, z) = ∇θf (θ, z) and gz(θ, z) = ∇zf (θ, z), andassume gθ and gz satisfy Assumption B with (cid:96)(θ; z) replaced with f (θ, z)",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1669,"Making point (i) precise, Lemma 1 shows that if γ is large enough andAssumption B holds, the surrogate φγ is still smooth",with the convention that 0 · ∞ = 0,0
1670,"Let gθ(θ, z) = ∇θf (θ, z) and gz(θ, z) = ∇zf (θ, z), andassume gθ and gz satisfy Assumption B with (cid:96)(θ; z) replaced with f (θ, z)","Thus, theoptimization problem is NP-hard.",0
1671,"Making point (i) precise, Lemma 1 shows that if γ is large enough andAssumption B holds, the surrogate φγ is still smooth",Let ∆F ≥ F (θ0) − inf θ F (θ),0
1672,These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1673,"Moreover,(cid:107)z(cid:63)(θ1) − z(cid:63)(θ2)(cid:107) ≤ Lzθλ",Since 70% of the data are of the,0
1674,These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1675,"Let f : Θ×Z → R be differentiable and λ-strongly concave in z with respect to the norm(cid:107)·(cid:107), and deﬁne ¯f (θ) = supz∈Z f (θ, z)",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1676,"Let f : Θ×Z → R be differentiable and λ-strongly concave in z with respect to the norm(cid:107)·(cid:107), and deﬁne ¯f (θ) = supz∈Z f (θ, z)","The vertical bar in (a), (c), and (e) indicates the perturbation level that was",0
1677,"Moreover,(cid:107)z(cid:63)(θ1) − z(cid:63)(θ2)(cid:107) ≤ Lzθλ",The loss (cid:96) : Θ × Z → R satisﬁes the Lipschitzian smoothness conditions,0
1678,"Then ¯f is differentiable,and letting z(cid:63)(θ) = argmaxz∈Z f (θ, z), we have ∇ ¯f (θ) = gθ(θ, z(cid:63)(θ))","Jha, M",0
1679,"Then ¯f is differentiable,and letting z(cid:63)(θ) = argmaxz∈Z f (θ, z), we have ∇ ¯f (θ) = gθ(θ, z(cid:63)(θ))",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1680,"Let gθ(θ, z) = ∇θf (θ, z) and gz(θ, z) = ∇zf (θ, z), andassume gθ and gz satisfy Assumption B with (cid:96)(θ; z) replaced with f (θ, z)","Then, we have",0
1681,"Moreover,(cid:107)z(cid:63)(θ1) − z(cid:63)(θ2)(cid:107) ≤ Lzθλ",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1682,"Moreover,(cid:107)z(cid:63)(θ1) − z(cid:63)(θ2)(cid:107) ≤ Lzθλ","Let (cid:107)·(cid:107)∗ be the dual norm to (cid:107)·(cid:107); we abuse notation by using the same norm (cid:107)·(cid:107) on Θand Z, though the speciﬁc norm is clear from context.Assumption B",0
1683,"Moreover,(cid:107)z(cid:63)(θ1) − z(cid:63)(θ2)(cid:107) ≤ Lzθλ",Empirical comparison between certiﬁcate of robustness (11) (blue) and out-of-sample (test)worst-case performance (red) for the experiments on MNIST with a larger training adversary,0
1684,"Let f : Θ×Z → R be differentiable and λ-strongly concave in z with respect to the norm(cid:107)·(cid:107), and deﬁne ¯f (θ) = supz∈Z f (θ, z)","These results suggest advantages of networks with smooth activations
rather than ReLU’s",0
1685,"Moreover,(cid:107)z(cid:63)(θ1) − z(cid:63)(θ2)(cid:107) ≤ Lzθλ",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1686,"Let gθ(θ, z) = ∇θf (θ, z) and gz(θ, z) = ∇zf (θ, z), andassume gθ and gz satisfy Assumption B with (cid:96)(θ; z) replaced with f (θ, z)",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1687,"Let f : Θ×Z → R be differentiable and λ-strongly concave in z with respect to the norm(cid:107)·(cid:107), and deﬁne ¯f (θ) = supz∈Z f (θ, z)",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1688,"Throughout, we assume Θ ⊆ Rd.Lemma 1","In most scenarios, however,it is reasonable to defend against weaker adversaries that instead perturb inﬂuential features more.We consider this setting and train against (cid:107)·(cid:107)2-norm attacks",0
1689,These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,"2 PROPOSED APPROACHOur approach is based on the following simple insight: assume that the function z (cid:55)→ (cid:96)(θ; z) issmooth, meaning there is some L for which ∇z(cid:96)(θ;·) is L-Lipschitz",0
1690,"Let f : Θ×Z → R be differentiable and λ-strongly concave in z with respect to the norm(cid:107)·(cid:107), and deﬁne ¯f (θ) = supz∈Z f (θ, z)",All of our resultssuitably generalize to this setting with minor modiﬁcations to the robust surrogate (2b) and theabove assumptions (see Section D),0
1691,"Throughout, we assume Θ ⊆ Rd.Lemma 1",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1692,"Let gθ(θ, z) = ∇θf (θ, z) and gz(θ, z) = ∇zf (θ, z), andassume gθ and gz satisfy Assumption B with (cid:96)(θ; z) replaced with f (θ, z)","where (cid:98)Ptest is the test distribution, c(z, z(cid:48)) := (cid:107)x − x(cid:48)(cid:107)2(20)2 + ∞ · 1{y (cid:54)= y(cid:48)} as before, andTγadv (θ, Z) = argmaxz{(cid:96)(θ; z) − γadvc(z, Z)} is the adversarial perturbation of Z (Monge map)for the model θ",0
1693,"Then ¯f is differentiable,and letting z(cid:63)(θ) = argmaxz∈Z f (θ, z), we have ∇ ¯f (θ) = gθ(θ, z(cid:63)(θ))",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1694,"Let f : Θ×Z → R be differentiable and λ-strongly concave in z with respect to the norm(cid:107)·(cid:107), and deﬁne ¯f (θ) = supz∈Z f (θ, z)",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1695,"Making point (i) precise, Lemma 1 shows that if γ is large enough andAssumption B holds, the surrogate φγ is still smooth","Ried-miller, A",0
1696,"Making point (i) precise, Lemma 1 shows that if γ is large enough andAssumption B holds, the surrogate φγ is still smooth","Direct com-parison between these approaches is not immediate, as we need to determine a suitable  to train",0
1697,"Let gθ(θ, z) = ∇θf (θ, z) and gz(θ, z) = ∇zf (θ, z), andassume gθ and gz satisfy Assumption B with (cid:96)(θ; z) replaced with f (θ, z)","For tabular Q-learning, where werepresent Q only over a discretized covering of the underlying state-space, we can either neglect thesecond term in the update (22) and, after performing the update, round st+1 as usual, or we can per-form minimization directly over the discretized covering",0
1698,"Let gθ(θ, z) = ∇θf (θ, z) and gz(θ, z) = ∇zf (θ, z), andassume gθ and gz satisfy Assumption B with (cid:96)(θ; z) replaced with f (θ, z)",These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1699,These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,These properties guarantee both (i) the well-behavedness of the robust surrogate φγ and (ii) itsefﬁcient computability,1
1700,See Section C.2 for the proof,See Section C.2 for the proof,1
1701,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1702,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",All mod-els are trained in the ∞-norm,0
1703,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","Due to the nonstationary, policy-dependent radius for the Wassersteinball, an analogous  for the fast-gradient method (or other variants) is not well-deﬁned",0
1704,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",M,0
1705,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","Let (cid:107)·(cid:107)∗ be the dual norm to (cid:107)·(cid:107); we abuse notation by using the same norm (cid:107)·(cid:107) on Θand Z, though the speciﬁc norm is clear from context.Assumption B",0
1706,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2","ERM and FGM suffer from sensitivities to various regions of the data,as evidenced by the lack of symmetry in their classiﬁcation boundaries",0
1707,See Section C.2 for the proof,"Leveraging the insight (4), we give up the requirement that we wish a prescribed amount ρ of ro-bustness (solving the worst-case problem (1) for P = {P : Wc(P, P0) ≤ ρ}) and focus instead onthe Lagrangian penalty problem (2) and its empirical counterpart",0
1708,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","Smoothness, which can be obtained
in standard deep architectures with exponential linear units (ELU’s) (Clevert et al., 2015), allows us
to ﬁnd Lagrangian worst-case perturbations with low computational cost.",0
1709,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",adv for (cid:107) · (cid:107)∞-IFGM attackFigure 11,0
1710,See Section C.2 for the proof,"(2015), and Blanchet et al",0
1711,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","Assume E[(cid:107)∇F (θ) − ∇θφγ(θ, Z)(cid:107)2take constant stepsizes α =, Algorithm 1satisﬁes",0
1712,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1713,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","Let gθ(θ, x) = ∇θf (θ, x) and gx(θ, x) = ∇xf (θ, x),and assume gθ and gx satisfy the Lipschitz conditions of Assumption B",0
1714,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1715,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1716,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1717,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1","Since the worst-(test) worst-case performance supP :Wc(P,P0)≤ρcase loss is hard to evaluate directly, we solve its Lagrangian relaxation (6) for different values ofγadv",0
1718,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1","Mnih, K",0
1719,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1720,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1721,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",See Section C.2 for the proof,1
1722,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","For each γadv, we consider the distance to adversarial examples in the test dataset",0
1723,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","For both activations, WRMpushes the classiﬁcation boundaries further outwards than ERM or FGM",0
1724,See Section C.2 for the proof,The goal of a reinforcement-learning agent is to maximize (discounted) cumula-t λtE[r(st)] (with discount factor λ); this is analogous to minimizing EP [(cid:96)(θ; Z)] insupervised learning,0
1725,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1726,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",Let (cid:96) : Θ × Z → R and c : Z × Z → R+ be continuous,0
1727,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1728,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",See Section C.2 for the proof,1
1729,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",2.2) gives the result.,0
1730,See Section C.2 for the proof,See Section C.2 for the proof,1
1731,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1732,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",0
1733,See Section C.2 for the proof,V,0
1734,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1","Then using thepreceding display, we have",0
1735,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",WRM’s “misclassiﬁcations”appear consistently reasonable to the human eye (see Appendix A.2 for examples of other digits);WRM defends against gradient-based exploits by learning a representation that makes gradientspoint towards inputs of other classes,0
1736,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1737,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","6.2), and applying standard results onRademacher complexity (Bartlett & Mendelson, 2002) and entropy integrals (van der Vaart & Well-To see the second result (12), we substitute ρ =(cid:98)ρn in the bound (11)",0
1738,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",Weuse a tabular representation for Q with 30 discretized states for β and 15 for its time-derivative ˙β (weperform the update (22) without the Q-dependent term),0
1739,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1740,See Section C.2 for the proof,It isthus important to distinguish the methods’ abilities to combat attacks,0
1741,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1742,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1","To guarantee that the robust surrogate (2b) is tractably computable, we also require a few smoothnessassumptions",0
1743,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",The choice of P in the robust objective (1) affectsboth the richness of the uncertainty set we wish to consider as well as the tractability of the result-ing optimization problem,0
1744,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",See Section C.2 for the proof,1
1745,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1746,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","Recalling the deﬁnition (2b) of φγ(θ; z0) = supz∈Z f (θ, z; z0), we deﬁne the potentially biasederrors δt = gt − ∇θφγ(θt; zt)",0
1747,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1748,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1749,See Section C.2 for the proof,HN was partially supported by aSamsung Fellowship,0
1750,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1751,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1752,See Section C.2 for the proof,See Section C.2 for the proof,1
1753,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1754,See Section C.2 for the proof,See Section C.2 for the proof,1
1755,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1756,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",Let Assumptions C and D hold with the (cid:96)2-norm2] ≤ σ2 andand let Θ = Rd,0
1757,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1758,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",Theorem 7,0
1759,See Section C.2 for the proof,It isthus important to distinguish the methods’ abilities to combat attacks,0
1760,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1761,See Section C.2 for the proof,See Section C.2 for the proof,1
1762,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","Throughout, we assume Θ ⊆ Rd.Lemma 1",0
1763,See Section C.2 for the proof,See Section C.2 for the proof,1
1764,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","Nevertheless, this robust approach underlies recent advances in adversarial train-ing (Szegedy et al., 2013; Goodfellow et al., 2015; Papernot et al., 2016b; Carlini & Wagner, 2017;Madry et al., 2017), which heuristically perturb data during a stochastic optimization procedure.One such heuristic uses a locally linearized loss function (proposed with p = ∞ as the “fast gradientsign method” (Goodfellow et al., 2015)):∆xi(θ) := argmax
(cid:107)η(cid:107)p≤",0
1765,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",See Section C.2 for the proof,1
1766,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","14.34); therefore, g(x, z) = γc(x, z) − (cid:96)(θ; x) is a normalintegrand",0
1767,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1768,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2","McDaniel, X",0
1769,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1","In contrast, our approachis to use the distributionally robust approach to both defend against imperceptible adversarial per-turbations and develop efﬁcient optimization procedures.",0
1770,See Section C.2 for the proof,See Section C.2 for the proof,1
1771,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1772,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",See Section C.2 for the proof,1
1773,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1774,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2","Then by Proposition 1 (or by using a variant of Kantorovich duality (Villani,2009, Chs",0
1775,See Section C.2 for the proof,"For any θ, optimality of z(cid:63)(θ) implies thatgz(θ, z(cid:63)(θ))T (z−z(cid:63)(θ)) ≤ 0",0
1776,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","From the proposition, we obtain the proximalprocedure in Algorithm 2 that can be used to solve for the approximate maximizer of (cid:96)(θ; z) −γc(z, z0) in Algorithm 1",0
1777,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","Assume E[(cid:107)∇F (θ) − ∇θφγ(θ, Z)(cid:107)2take constant stepsizes α =, Algorithm 1satisﬁes",0
1778,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1779,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1780,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1781,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",Roy,0
1782,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1783,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",See Section C.2 for the proof,1
1784,See Section C.2 for the proof,See Section C.2 for the proof,1
1785,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+","PGM augments stochastic gradient steps for the parameter θ with projected gradientascent over x (cid:55)→ (cid:96)(θ; x, y), iterating (for data point xi, yi)i, yi)T η} and xt+1",0
1786,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1","Replacing ReLU’s with sigmoids or ELU’s (Clevert et al., 2015) allows us to apply Theo-rem 2, making distributionally robust optimization tractable for deep learning.In supervised-learning scenarios, we are often interested in adversarial perturbations only to featurevectors (and not labels)",0
1787,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1788,See Section C.2 for the proof,See Section C.2 for the proof,1
1789,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1","Moreover,(cid:107)x(cid:63)(θ1) − x(cid:63)(θ2)(cid:107) ≤ Lxθλ",0
1790,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",See Section C.2 for the proof,1
1791,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",Let (cid:96)(·; z) be L-Lipschitz with respect to some norm (cid:107)·(cid:107) for all z ∈ Z,0
1792,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",See Section C.2 for the proof,1
1793,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1794,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1795,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2","Celik, and A",0
1796,"Under Assumptions A, B, φγ(·; z0)then has L = Lθθ + LθzLzθ[γ−Lzz]+",See Section C.2 for the proof,1
1797,"Noting that f (θ, z) := (cid:96)(θ, z) − γc(z, z0) is (γ − Lzz)-strongly concavefrom the insight (4) (with L := Lzz), let us apply Lemma 1",adv for (cid:107) · (cid:107)2-IFGM attackFigure 12,0
1798,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",See Section C.2 for the proof,1
1799,"Fix z0 ∈ Z and focus on the (cid:96)2-norm case where c(z, z0) satisﬁesAssumption A with (cid:107)·(cid:107)2",See Section C.2 for the proof,1
1800,"The beneﬁtsof Lagrangian relaxation become clear here: for (cid:96)(θ; z) smooth in z and γ large enough, gradient","This motivates Algorithm 1, a stochastic-gradient approach for the penalty problem (7)",1
